,Task,Resource,Start,Finish,NDay
0,A43Y,4,2023-01-01,2024-09-17,344
1,A83,5,2023-01-01,2024-02-08,221
2,A106,6,2023-01-01,2023-12-21,196
3,A105,7,2023-01-01,2023-12-20,195
4,A96B,9,2023-01-01,2023-12-23,197
5,A92,10,2023-01-01,2023-12-16,193
6,A95,11,2023-01-01,2023-12-02,185
7,A88,12,2023-01-01,2023-10-24,163
8,A85MX,13,2023-01-01,2023-09-16,142
9,A98,15,2023-01-01,2024-01-11,206
10,A56Y,16,2023-01-01,2023-08-25,128
11,A99,17,2023-01-01,2023-08-09,120
12,A63,18,2023-01-01,2023-05-13,75
13,A49,23,2023-01-01,2023-08-04,117
14,A87,24,2023-01-01,2023-08-02,116
15,A2,25,2023-01-01,2023-07-27,113
16,A67,18,2023-05-13,2023-09-06,60
17,TwinX,25,2023-07-27,2024-02-01,105
18,A102,24,2023-08-02,2024-02-01,102
19,ASS,23,2023-08-04,2024-02-01,101
20,A93,17,2023-08-09,2024-02-01,98
21,A44,16,2023-08-25,2024-02-01,90
22,A82,18,2023-09-06,2024-01-30,81
23,A53Y,13,2023-09-16,2024-01-26,72
24,A51,12,2023-10-24,2024-02-22,67
25,A96X,11,2023-12-02,2024-03-09,55
26,A54,10,2023-12-16,2024-03-22,54
27,A78,7,2023-12-20,2024-03-27,54
28,ASSX,6,2023-12-21,2024-03-28,54
29,A94IY,9,2023-12-23,2024-03-02,39
30,A23,15,2024-01-11,2024-03-09,34
31,A17,13,2024-01-26,2024-03-21,32
32,A58,18,2024-01-30,2024-02-13,8
33,A53X,16,2024-02-01,2024-02-07,2
34,A50,17,2024-02-01,2024-02-06,1
