,Task,Resource,Start,Finish,NDay
0,A43Y,4,2023-01-01,2024-03-06,344
1,A83,5,2023-01-01,2023-10-05,221
2,A106,6,2023-01-01,2023-09-03,196
3,A105,7,2023-01-01,2023-09-02,195
4,A96B,9,2023-01-01,2023-09-05,197
5,A92,10,2023-01-01,2023-08-31,193
6,A95,11,2023-01-01,2023-08-22,185
7,A88,12,2023-01-01,2023-07-25,163
8,A85MX,13,2023-01-01,2023-06-29,142
9,A98,15,2023-01-01,2023-09-15,206
10,A56Y,16,2023-01-01,2023-06-13,128
11,A99,17,2023-01-01,2023-06-02,120
12,A63,18,2023-01-01,2023-04-02,75
13,A49,23,2023-01-01,2023-05-30,117
14,A87,24,2023-01-01,2023-05-28,116
15,A2,25,2023-01-01,2023-05-24,113
16,A67,18,2023-04-02,2023-06-21,60
17,TwinX,25,2023-05-24,2023-09-30,105
18,A102,24,2023-05-28,2023-09-30,102
19,ASS,23,2023-05-30,2023-09-30,101
20,A93,17,2023-06-02,2023-09-30,98
21,A44,16,2023-06-13,2023-09-30,90
22,A82,18,2023-06-21,2023-09-28,81
23,A53Y,13,2023-06-29,2023-09-26,72
24,A51,12,2023-07-25,2023-10-15,67
25,A96X,11,2023-08-22,2023-10-27,55
26,A54,10,2023-08-31,2023-11-05,54
27,A78,7,2023-09-02,2023-11-08,54
28,ASSX,6,2023-09-03,2023-11-09,54
29,A94IY,9,2023-09-05,2023-10-22,39
30,A23,15,2023-09-15,2023-10-27,34
31,A17,13,2023-09-26,2023-11-04,32
32,A58,18,2023-09-28,2023-10-08,8
33,A53X,16,2023-09-30,2023-10-04,2
34,A50,17,2023-09-30,2023-10-03,1
