 ; Stampo;             Pressa;  Giorni produzione
0;    A54;  [4, 5, 7, 11, 18];              46.86
1;    A54;  [4, 5, 7, 11, 18];               6.80
2;    A50;               [17];               0.60
3;    A49;               [17];              11.70
4;    A82;           [13, 17];              36.48
