 ; Stampo;             Pressa;  Giorni produzione
0;    A54;              [1];                46.86
1;    A54;              [1];                 6.80
2;    A50;              [2];                 0.60
3;    A49;              [1];                11.70
4;    A82;              [2];                36.48
